Time (s) Run #2,Time (s) Run #3,Time (s) Run #4,Time (s) Run #5,Time (s) Run #6,Time (s) Run #8,Time (s) Run #9,Time (s) Run #10,Time (s) Run #11,Time (s) Run #12,Position (m) Run #2,Position (m) Run #3,Position (m) Run #4,Position (m) Run #5,Position (m) Run #6,Position (m) Run #8,Position (m) Run #9,Position (m) Run #10,Position (m) Run #11,Position (m) Run #12
-0.78,-1.4000000000000001,-1.68,-1.28,-0.17999999999999994,-0.45999999999999996,-0.78,-0.32000000000000006,-0.74,-0.43999999999999995,,,,,,,,,,
-0.76,-1.3800000000000001,-1.66,-1.26,-0.15999999999999992,-0.43999999999999995,-0.76,-0.30000000000000004,-0.72,-0.41999999999999993,,,,,,,,,,
-0.74,-1.36,-1.64,-1.24,-0.1399999999999999,-0.41999999999999993,-0.74,-0.28,-0.7,-0.3999999999999999,,,,,,,,,,
-0.72,-1.34,-1.6199999999999999,-1.22,-0.11999999999999988,-0.3999999999999999,-0.72,-0.26,-0.6799999999999999,-0.3799999999999999,,,,,,,,,,
-0.7,-1.32,-1.5999999999999999,-1.2,-0.09999999999999987,-0.3799999999999999,-0.7,-0.24,-0.6599999999999999,-0.3599999999999999,,,,,,,,,,
-0.6799999999999999,-1.3,-1.5799999999999998,-1.18,-0.07999999999999985,-0.3599999999999999,-0.6799999999999999,-0.21999999999999997,-0.6399999999999999,-0.33999999999999986,,,,,,,,,,
-0.6599999999999999,-1.28,-1.5599999999999998,-1.16,-0.05999999999999983,-0.33999999999999986,-0.6599999999999999,-0.19999999999999996,-0.6199999999999999,-0.31999999999999984,,,,,,,,,,
-0.6400000000000001,-1.2600000000000002,-1.54,-1.1400000000000001,-0.040000000000000036,-0.32000000000000006,-0.6400000000000001,-0.18000000000000016,-0.6000000000000001,-0.30000000000000004,,,,,,,,,,
-0.6200000000000001,-1.2400000000000002,-1.52,-1.12,-0.020000000000000018,-0.30000000000000004,-0.6200000000000001,-0.16000000000000014,-0.5800000000000001,-0.28,,,,,,,,,,
-0.6000000000000001,-1.2200000000000002,-1.5,-1.1,0.0,-0.28,-0.6000000000000001,-0.14000000000000012,-0.56,-0.26,,,,,0.94,,,,,
-0.5800000000000001,-1.2000000000000002,-1.48,-1.08,0.020000000000000018,-0.26,-0.5800000000000001,-0.1200000000000001,-0.54,-0.24,,,,,0.91,,,,,
-0.56,-1.1800000000000002,-1.46,-1.06,0.040000000000000036,-0.24,-0.56,-0.10000000000000009,-0.52,-0.21999999999999997,,,,,0.89,,,,,
-0.54,-1.1600000000000001,-1.44,-1.04,0.06000000000000005,-0.21999999999999997,-0.54,-0.08000000000000007,-0.5,-0.19999999999999996,,,,,0.87,,,,,
-0.52,-1.1400000000000001,-1.42,-1.02,0.08000000000000007,-0.19999999999999996,-0.52,-0.06000000000000005,-0.48,-0.17999999999999994,,,,,0.84,,,,,
-0.5,-1.12,-1.4,-1.0,0.10000000000000009,-0.17999999999999994,-0.5,-0.040000000000000036,-0.45999999999999996,-0.15999999999999992,,,,,0.81,,,,,
-0.48,-1.1,-1.38,-0.98,0.1200000000000001,-0.15999999999999992,-0.48,-0.020000000000000018,-0.43999999999999995,-0.1399999999999999,,,,,0.78,,,,,
-0.45999999999999996,-1.08,-1.3599999999999999,-0.96,0.14000000000000012,-0.1399999999999999,-0.45999999999999996,0.0,-0.41999999999999993,-0.11999999999999988,,,,,0.75,,,0.9,,
-0.43999999999999995,-1.06,-1.3399999999999999,-0.94,0.16000000000000014,-0.11999999999999988,-0.43999999999999995,0.020000000000000018,-0.3999999999999999,-0.09999999999999987,,,,,0.72,,,0.87,,
-0.41999999999999993,-1.04,-1.3199999999999998,-0.9199999999999999,0.18000000000000016,-0.09999999999999987,-0.41999999999999993,0.040000000000000036,-0.3799999999999999,-0.07999999999999985,,,,,0.68,,,0.85,,
-0.3999999999999999,-1.02,-1.2999999999999998,-0.8999999999999999,0.20000000000000018,-0.07999999999999985,-0.3999999999999999,0.06000000000000005,-0.3599999999999999,-0.05999999999999983,,,,,0.65,,,0.83,,
