"Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12"
0.520,0.98,-0.01,-0.83,0.520,0.97,0.01,1.82,0.520,0.98,0.01,-0.41,0.520,0.96,-0.03,-1.24,0.520,0.99,-0.04,1.04,0.520,0.98,0.00,0.02,0.520,0.95,-0.02,-0.01,0.520,0.99,0.26,-6.83,0.520,0.93,-0.03,0.54,0.520,0.94,0.00,-0.04
0.540,0.98,-0.03,-1.23,0.540,0.97,0.01,2.14,0.540,0.98,-0.01,-0.80,0.540,0.95,-0.06,2.37,0.540,0.99,-0.01,0.95,0.540,0.98,0.00,0.05,0.540,0.95,-0.02,0.04,0.540,1.00,0.05,-3.84,0.540,0.93,-0.03,0.24,0.540,0.94,0.00,-0.01
0.560,0.98,-0.06,-1.41,0.560,0.97,0.11,1.11,0.560,0.98,-0.03,-0.79,0.560,0.95,0.07,5.01,0.560,0.99,0.00,0.36,0.560,0.98,0.00,0.04,0.560,0.95,-0.02,0.12,0.560,0.99,-0.01,1.49,0.560,0.92,-0.03,0.21,0.560,0.94,0.00,0.00
0.580,0.98,-0.09,-0.96,0.580,0.97,0.12,-1.19,0.580,0.98,-0.05,-0.14,0.580,0.95,0.23,3.69,0.580,0.99,3.89E-6,-0.15,0.580,0.98,0.00,0.01,0.580,0.95,-0.02,-0.06,0.580,0.99,0.23,1.08,0.580,0.92,-0.02,0.33,0.580,0.94,0.00,0.00
0.600,0.98,-0.11,0.16,0.600,0.98,0.03,-2.45,0.600,0.98,-0.04,0.68,0.600,0.96,0.27,0.03,0.600,0.99,-0.01,-0.16,0.600,0.98,0.00,0.00,0.600,0.95,-0.02,-0.41,0.600,1.00,0.25,-4.83,0.600,0.92,-0.01,0.54,0.600,0.94,0.00,0.01
0.620,0.97,-0.09,1.30,0.620,0.97,-0.05,-0.20,0.620,0.97,-0.01,1.09,0.620,0.97,0.18,-1.62,0.620,0.99,-0.02,0.22,0.620,0.98,0.00,0.00,0.620,0.95,-0.03,-0.53,0.620,1.02,-0.09,-7.58,0.620,0.92,-0.01,0.83,0.620,0.94,-1.97E-4,0.03
0.640,0.97,-0.04,1.91,0.640,0.97,-0.01,2.55,0.640,0.97,0.01,0.92,0.640,0.97,0.13,-0.31,0.640,0.98,-6.19E-4,0.50,0.640,0.98,0.00,0.01,0.640,0.95,-0.05,-0.16,0.640,0.99,-0.27,-2.53,0.640,0.92,0.02,1.05,0.640,0.94,0.00,0.07
0.660,0.97,0.00,3.12,0.660,0.97,0.14,2.37,0.660,0.98,0.03,0.49,0.660,0.97,0.18,1.26,0.660,0.98,0.02,0.34,0.660,0.98,-2.03E-4,0.03,0.660,0.95,-0.05,0.50,0.660,0.98,-0.15,2.20,0.660,0.92,0.05,0.60,0.660,0.94,0.00,0.10
0.680,0.97,0.04,5.23,0.680,0.97,0.15,-0.52,0.680,0.98,0.03,0.30,0.680,0.98,0.24,0.70,0.680,0.99,0.02,0.01,0.680,0.98,0.00,0.06,0.680,0.95,-0.02,0.84,0.680,1.00,0.01,0.96,0.680,0.93,0.06,-0.73,0.680,0.95,0.01,0.08
0.700,0.97,0.21,5.77,0.700,0.98,0.08,-3.19,0.700,0.98,0.03,0.41,0.700,0.98,0.23,-1.11,0.700,0.99,0.01,-0.06,0.700,0.98,0.00,0.06,0.700,0.95,-9.85E-4,0.73,0.700,0.99,-0.11,-1.66,0.700,0.93,0.02,-1.88,0.700,0.95,0.01,0.01
