"Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11","Time (s) Run #12","Position (m) Run #12","Velocity (m/s) Run #12","Acceleration (m/s²) Run #12"
3.120,1.02,-0.02,-0.15,3.120,1.37,11.06,-385.15,3.120,0.50,-2.26,-3.51,3.120,1.02,-0.03,-1.10,3.120,1.12,0.59,61.26,,,,,,,,,,,,,,,,,3.120,0.96,0.03,1.78
3.140,1.02,-0.08,-2.04,3.140,1.36,-0.36,-278.57,3.140,0.46,-2.32,-2.71,3.140,1.01,-0.08,-1.37,3.140,1.11,2.45,,,,,,,,,,,,,,,,,,3.140,0.98,0.11,1.04
3.160,1.01,-0.11,-2.90,3.160,1.35,-0.16,-104.14,3.160,0.41,-2.36,-2.42,3.160,1.02,-0.09,-1.36,3.160,1.07,8.05,,,,,,,,,,,,,,,,,,3.160,0.97,0.10,1.87
3.180,1.01,-0.20,-2.79,3.180,1.36,0.54,-39.44,3.180,0.36,-2.40,-3.00,3.180,1.01,-0.13,-0.30,3.180,1.43,,,,,,,,,,,,,,,,,,,3.180,0.97,0.11,4.11
3.200,1.01,-0.25,-0.54,3.200,1.35,-2.33,-30.25,3.200,0.31,-2.47,-4.63,3.200,1.01,-0.13,0.65,,,,,,,,,,,,,,,,,,,,,3.200,0.98,0.26,5.81
3.220,1.00,-0.27,3.52,3.220,1.43,-2.92,35.15,3.220,0.26,-2.56,285.35,3.220,1.01,-0.07,1.29,,,,,,,,,,,,,,,,,,,,,3.220,0.98,0.45,3.58
3.240,1.00,-0.10,4.79,3.240,1.00,-0.33,94.38,3.240,0.21,-2.75,578.28,3.240,1.01,-0.08,1.28,,,,,,,,,,,,,,,,,,,,,3.240,0.99,0.46,-1.31
3.260,0.99,0.08,1.86,3.260,1.36,2.75,55.96,3.260,0.16,32.12,1260.14,3.260,1.01,-0.04,1.44,,,,,,,,,,,,,,,,,,,,,3.260,1.01,0.34,-4.26
3.280,1.00,-0.02,-1.94,3.280,1.38,3.32,-19.01,3.280,0.09,32.24,1438.57,3.280,1.01,-0.02,1.97,,,,,,,,,,,,,,,,,,,,,3.280,1.00,0.21,-3.37
3.300,1.00,-0.12,-1.75,3.300,1.38,0.15,-50.06,3.300,4.24,113.67,49.57,3.300,1.01,0.04,1.55,,,,,,,,,,,,,,,,,,,,,3.300,1.01,0.18,-1.03
3.320,0.99,-0.13,1.40,3.320,1.38,-0.01,-27.21,3.320,0.00,88.33,-2187.81,3.320,1.01,0.08,0.20,,,,,,,,,,,,,,,,,,,,,3.320,1.02,0.21,1.01
3.340,0.99,-0.02,3.55,3.340,1.38,0.07,1.13,3.340,13.89,-18.03,-3400.47,3.340,1.01,0.05,-1.29,,,,,,,,,,,,,,,,,,,,,3.340,1.02,0.22,1.45
3.360,0.99,0.05,-0.75,3.360,1.38,0.13,1.06,3.360,1.04,-98.60,-1484.73,3.360,1.01,0.00,-1.22,,,,,,,,,,,,,,,,,,,,,3.360,1.02,0.30,-1.91
3.380,0.99,0.13,-8.41,3.380,1.38,0.15,-1.08,3.380,1.04,-107.45,966.17,3.380,1.01,-0.03,0.12,,,,,,,,,,,,,,,,,,,,,3.380,1.03,0.26,-8.77
3.400,1.00,-0.37,-12.22,3.400,1.39,0.04,-2.09,3.400,1.02,-0.41,1713.92,3.400,1.01,0.02,1.02,,,,,,,,,,,,,,,,,,,,,3.400,1.04,-0.07,-15.40
3.420,1.01,-0.62,-7.67,3.420,1.39,0.02,-2.86,3.420,1.01,-0.28,897.69,3.420,1.01,0.05,0.48,,,,,,,,,,,,,,,,,,,,,3.420,1.04,-0.47,
3.440,0.93,-0.68,0.23,3.440,1.38,5.38E-4,0.38,3.440,1.01,-0.11,5.38,3.440,1.01,0.04,-0.35,,,,,,,,,,,,,,,,,,,,,3.440,1.01,-0.82,
3.460,0.98,-0.49,-0.41,3.460,1.39,-0.15,-13.04,3.460,1.01,-0.04,3.15,3.460,1.01,0.00,0.63,,,,,,,,,,,,,,,,,,,,,3.460,1.00,,
3.480,0.94,-0.47,-3.46,3.480,1.38,0.27,-50.11,3.480,1.01,-0.01,1.18,3.480,1.01,0.02,2.71,,,,,,,,,,,,,,,,,,,,,,,,
3.500,0.94,-0.87,-1.52,3.500,1.37,-1.81,-82.48,3.500,1.01,0.00,0.39,3.500,1.01,0.15,3.08,,,,,,,,,,,,,,,,,,,,,,,,
3.520,0.92,-0.71,10.47,3.520,1.44,-4.36,-64.66,3.520,1.01,-6.32E-4,0.16,3.520,1.02,0.22,0.24,,,,,,,,,,,,,,,,,,,,,,,,
3.540,0.90,-0.43,23.28,3.540,1.12,-5.42,9.50,3.540,1.01,0.00,0.14,3.540,1.02,0.17,-3.29,,,,,,,,,,,,,,,,,,,,,,,,
3.560,0.90,0.35,22.43,3.560,1.11,-3.87,67.02,3.560,1.01,0.01,0.15,3.560,1.02,0.03,-4.16,,,,,,,,,,,,,,,,,,,,,,,,
3.580,0.91,0.87,7.45,3.580,1.05,-1.15,71.70,3.580,1.01,0.01,0.06,3.580,1.02,-0.05,-2.38,,,,,,,,,,,,,,,,,,,,,,,,
3.600,0.95,0.68,-11.49,3.600,1.05,-0.59,40.55,3.600,1.01,0.01,0.03,3.600,1.02,-0.05,0.30,,,,,,,,,,,,,,,,,,,,,,,,
3.620,0.95,0.12,-17.67,3.620,1.04,-0.10,18.18,3.620,1.01,0.01,0.66,3.620,1.02,-0.03,1.89,,,,,,,,,,,,,,,,,,,,,,,,
3.640,0.94,-0.29,-13.04,3.640,1.04,-0.05,18.63,3.640,1.01,0.01,2.41,3.640,1.02,0.04,1.37,,,,,,,,,,,,,,,,,,,,,,,,
3.660,0.94,-0.28,-9.97,3.660,1.04,0.49,14.60,3.660,1.01,0.09,3.51,3.660,1.02,0.08,-0.97,,,,,,,,,,,,,,,,,,,,,,,,
3.680,0.93,-0.48,-11.10,3.680,1.04,1.05,-3.39,3.680,1.01,0.22,0.25,3.680,1.03,0.00,-2.97,,,,,,,,,,,,,,,,,,,,,,,,
3.700,0.92,-0.89,-8.37,3.700,1.10,0.55,-26.21,3.700,1.02,0.22,-5.71,3.700,1.02,-0.11,-2.18,,,,,,,,,,,,,,,,,,,,,,,,
3.720,0.89,-1.02,2.74,3.720,1.11,-0.51,-27.57,3.720,1.03,-0.09,-7.20,3.720,1.02,-0.13,0.39,,,,,,,,,,,,,,,,,,,,,,,,
3.740,0.87,-0.75,13.02,3.740,1.04,-1.09,-5.92,3.740,1.02,-0.29,-2.06,3.740,1.02,-0.05,2.21,,,,,,,,,,,,,,,,,,,,,,,,
3.760,0.86,-0.29,14.25,3.760,1.04,-0.62,12.90,3.760,1.00,-0.14,0.36,3.760,1.02,0.00,2.53,,,,,,,,,,,,,,,,,,,,,,,,
3.780,0.86,-0.05,8.67,3.780,1.04,-0.05,14.13,3.780,1.02,0.02,-4.32,3.780,1.02,0.03,2.23,,,,,,,,,,,,,,,,,,,,,,,,
3.800,0.86,-8.98E-4,3.05,3.800,1.04,0.00,4.91,3.800,1.02,-0.35,-9.44,3.800,1.02,0.09,2.09,,,,,,,,,,,,,,,,,,,,,,,,
3.820,0.86,0.01,0.54,3.820,1.04,-0.02,-0.85,3.820,1.01,-0.59,-5.30,3.820,1.02,0.12,1.93,,,,,,,,,,,,,,,,,,,,,,,,
3.840,0.86,0.02,-0.56,3.840,1.04,-0.07,-0.99,3.840,0.97,-0.66,4.63,3.840,1.02,0.16,1.57,,,,,,,,,,,,,,,,,,,,,,,,
3.860,0.86,-0.01,-1.60,3.860,1.04,-0.09,0.00,3.860,1.00,-0.31,6.30,3.860,1.03,0.19,0.67,,,,,,,,,,,,,,,,,,,,,,,,
3.880,0.86,-0.06,-2.18,3.880,1.03,-0.05,0.65,3.880,0.95,-0.08,-5.20,3.880,1.03,0.21,-1.62,,,,,,,,,,,,,,,,,,,,,,,,
3.900,0.86,-0.11,1.45,3.900,1.03,-0.04,0.39,3.900,0.99,-0.42,-16.49,3.900,1.04,0.16,-4.56,,,,,,,,,,,,,,,,,,,,,,,,
3.920,0.86,-0.14,6.86,3.920,1.03,-0.04,-0.05,3.920,0.97,-1.18,-12.88,3.920,1.04,-2.39E-4,-5.91,,,,,,,,,,,,,,,,,,,,,,,,
3.940,0.85,0.25,5.98,3.940,1.03,-0.05,-0.07,3.940,0.93,-1.19,-0.85,3.940,1.04,-0.15,-3.19,,,,,,,,,,,,,,,,,,,,,,,,
3.960,0.85,0.41,-4.06,3.960,1.03,-0.05,0.09,3.960,0.87,-0.85,3.63,3.960,1.03,-0.20,0.77,,,,,,,,,,,,,,,,,,,,,,,,
3.980,0.89,0.06,-13.70,3.980,1.03,-0.04,0.15,3.980,0.94,-0.84,-1.28,3.980,1.03,-0.03,6.09,,,,,,,,,,,,,,,,,,,,,,,,
4.000,0.87,-0.44,-9.54,4.000,1.03,-0.04,0.14,4.000,0.85,-1.09,4.28,4.000,1.03,-0.03,13.57,,,,,,,,,,,,,,,,,,,,,,,,
4.020,0.85,-0.55,5.55,4.020,1.03,-0.04,0.10,4.020,0.85,-1.11,17.12,4.020,1.04,0.41,18.28,,,,,,,,,,,,,,,,,,,,,,,,
4.040,0.85,-0.13,16.14,4.040,1.03,-0.03,0.07,4.040,0.84,-0.07,20.55,4.040,1.01,0.99,14.48,,,,,,,,,,,,,,,,,,,,,,,,
4.060,0.85,0.42,12.31,4.060,1.03,-0.03,0.03,4.060,0.82,0.20,7.74,4.060,1.09,1.15,-7.22,,,,,,,,,,,,,,,,,,,,,,,,
4.080,0.85,0.53,4.72,4.080,1.03,-0.03,-0.02,4.080,0.86,0.07,-8.24,4.080,1.10,0.97,-33.75,,,,,,,,,,,,,,,,,,,,,,,,
4.100,0.89,0.27,6.70,4.100,1.03,-0.03,-0.05,4.100,0.84,-0.33,-8.38,4.100,1.09,-0.44,-45.16,,,,,,,,,,,,,,,,,,,,,,,,
4.120,0.87,0.59,9.77,4.120,1.03,-0.04,-0.10,4.120,0.83,-0.54,1.96,4.120,1.12,-1.47,-31.72,,,,,,,,,,,,,,,,,,,,,,,,
4.140,0.87,1.17,-3.20,4.140,1.02,-0.04,-0.09,4.140,0.82,-0.20,10.81,4.140,1.01,-1.82,7.85,,,,,,,,,,,,,,,,,,,,,,,,
4.160,0.95,0.81,-24.71,4.160,1.02,-0.04,0.03,4.160,0.82,0.18,8.86,4.160,1.01,-1.45,46.45,,,,,,,,,,,,,,,,,,,,,,,,
4.180,0.95,-0.34,-25.02,4.180,1.02,-0.04,0.25,4.180,0.83,0.26,-0.10,4.180,0.99,0.48,61.82,,,,,,,,,,,,,,,,,,,,,,,,
4.200,0.88,-0.88,-2.11,4.200,1.02,-0.03,0.52,4.200,0.84,0.07,-3.65,4.200,0.97,1.80,27.92,,,,,,,,,,,,,,,,,,,,,,,,
4.220,0.90,-0.15,18.96,4.220,1.02,-0.02,0.41,4.220,0.83,-0.10,0.36,4.220,1.11,2.35,-29.56,,,,,,,,,,,,,,,,,,,,,,,,
4.240,0.90,0.37,26.82,4.240,1.02,0.00,-0.04,4.240,0.83,0.10,2.63,4.240,1.11,0.03,-45.10,,,,,,,,,,,,,,,,,,,,,,,,
4.260,0.91,0.69,23.11,4.260,1.02,-0.02,-0.39,4.260,0.83,0.27,-2.63,4.260,1.13,-1.30,-19.31,,,,,,,,,,,,,,,,,,,,,,,,
4.280,0.91,1.50,9.03,4.280,1.02,-0.03,-0.32,4.280,0.85,0.01,-9.26,4.280,0.95,0.04,-5.67,,,,,,,,,,,,,,,,,,,,,,,,
4.300,0.97,1.50,-16.07,4.300,1.02,-0.03,-0.15,4.300,0.83,-0.33,-7.35,4.300,1.11,0.02,-41.97,,,,,,,,,,,,,,,,,,,,,,,,
4.320,1.02,0.65,-33.23,4.320,1.02,-0.03,-0.55,4.320,0.82,-0.41,0.30,4.320,1.13,-1.98,-62.89,,,,,,,,,,,,,,,,,,,,,,,,
4.340,0.98,-0.39,-26.15,4.340,1.02,-0.04,-1.21,4.340,0.82,-0.19,4.83,4.340,0.95,-4.32,-17.16,,,,,,,,,,,,,,,,,,,,,,,,
4.360,0.98,-0.60,-7.39,4.360,1.02,-0.09,-1.69,4.360,0.82,-0.09,3.90,4.360,0.87,-3.16,47.10,,,,,,,,,,,,,,,,,,,,,,,,
4.380,0.97,-0.39,4.35,4.380,1.02,-0.12,-1.63,4.380,0.82,-0.06,4.16,4.380,0.85,-0.85,68.07,,,,,,,,,,,,,,,,,,,,,,,,
4.400,0.96,-0.24,3.83,4.400,1.01,-0.16,-1.15,4.400,0.82,-0.06,8.22,4.400,0.85,0.20,40.03,,,,,,,,,,,,,,,,,,,,,,,,
4.420,0.95,-0.23,-0.02,4.420,1.01,-0.17,-0.95,4.420,0.82,0.28,8.87,4.420,0.87,0.48,7.21,,,,,,,,,,,,,,,,,,,,,,,,
4.440,0.96,-0.30,1.37,4.440,1.00,-0.17,-1.41,4.440,0.81,0.55,0.86,4.440,0.88,0.31,-10.56,,,,,,,,,,,,,,,,,,,,,,,,
4.460,0.93,-0.33,6.67,4.460,1.00,-0.22,-2.58,4.460,0.85,0.39,-10.48,4.460,0.88,-0.09,-15.98,,,,,,,,,,,,,,,,,,,,,,,,
4.480,0.94,0.02,7.34,4.480,1.00,-0.28,-3.37,4.480,0.84,-0.07,-12.98,4.480,0.88,-0.49,-11.34,,,,,,,,,,,,,,,,,,,,,,,,
4.500,0.93,0.25,0.85,4.500,0.99,-0.37,-6.82,4.500,0.83,-0.36,-7.51,4.500,0.86,-0.64,-1.49,,,,,,,,,,,,,,,,,,,,,,,,
4.520,0.97,0.00,-6.32,4.520,0.98,-0.42,20.02,4.520,0.83,-0.26,-2.65,4.520,0.84,-0.51,6.43,,,,,,,,,,,,,,,,,,,,,,,,
4.540,0.94,-0.21,-5.57,4.540,0.97,-0.90,78.21,4.540,0.83,-0.32,-1.51,4.540,0.84,-0.25,8.84,,,,,,,,,,,,,,,,,,,,,,,,
4.560,0.94,-0.28,-1.29,4.560,0.97,2.64,156.07,4.560,0.82,-0.42,0.22,4.560,0.84,-0.10,7.90,,,,,,,,,,,,,,,,,,,,,,,,
4.580,0.94,-0.14,0.32,4.580,0.90,5.95,155.94,4.580,0.80,-0.38,4.71,4.580,0.83,0.02,6.39,,,,,,,,,,,,,,,,,,,,,,,,
4.600,0.93,-0.22,0.34,4.600,1.37,11.46,10.53,4.600,0.80,-0.18,7.11,4.600,0.84,0.17,4.12,,,,,,,,,,,,,,,,,,,,,,,,
4.620,0.93,-0.23,1.23,4.620,1.28,9.00,-174.27,4.620,0.80,0.00,5.31,4.620,0.84,0.24,-0.43,,,,,,,,,,,,,,,,,,,,,,,,
4.640,0.92,-0.15,3.07,4.640,1.96,0.86,-250.34,4.640,0.80,0.06,1.20,4.640,0.85,0.17,-5.87,,,,,,,,,,,,,,,,,,,,,,,,
4.660,0.92,-0.07,3.00,4.660,1.39,-4.36,-126.07,4.660,0.80,0.03,-2.17,4.660,0.85,-0.03,-8.73,,,,,,,,,,,,,,,,,,,,,,,,
4.680,0.92,-0.01,1.47,4.680,1.36,-5.22,30.34,4.680,0.80,-0.06,-3.12,4.680,0.85,-0.26,-6.88,,,,,,,,,,,,,,,,,,,,,,,,
4.700,0.92,0.00,0.12,4.700,1.36,-0.05,80.68,4.700,0.80,-0.14,-2.00,4.700,0.84,-0.38,-1.51,,,,,,,,,,,,,,,,,,,,,,,,
4.720,0.92,-0.04,-0.30,4.720,1.37,0.19,39.48,4.720,0.80,-0.15,-0.23,4.720,0.83,-0.31,3.35,,,,,,,,,,,,,,,,,,,,,,,,
4.740,0.92,-0.03,-0.13,4.740,1.38,-0.09,-8.01,4.740,0.79,-0.13,0.79,4.740,0.82,-0.16,4.76,,,,,,,,,,,,,,,,,,,,,,,,
4.760,0.92,-0.02,-0.48,4.760,1.37,-0.44,-5.30,4.760,0.79,-0.11,0.89,4.760,0.82,-0.07,5.40,,,,,,,,,,,,,,,,,,,,,,,,
4.780,0.92,-0.03,-1.40,4.780,1.35,-0.38,7.73,4.780,0.79,-0.09,0.73,4.780,0.82,-0.05,8.68,,,,,,,,,,,,,,,,,,,,,,,,
4.800,0.92,-0.09,-1.43,4.800,1.34,-0.16,16.42,4.800,0.79,-0.08,0.55,4.800,0.82,0.22,9.93,,,,,,,,,,,,,,,,,,,,,,,,
4.820,0.92,-0.13,-0.33,4.820,1.35,0.55,10.02,4.820,0.79,-0.07,0.38,4.820,0.82,0.59,24.27,,,,,,,,,,,,,,,,,,,,,,,,
4.840,0.91,-0.10,-6.31,4.840,1.34,0.60,-6.92,4.840,0.78,-0.06,0.22,4.840,0.85,0.49,31.96,,,,,,,,,,,,,,,,,,,,,,,,
4.860,0.91,-0.07,53.79,4.860,1.42,0.07,-16.68,4.860,0.78,-0.06,0.09,4.860,0.86,2.60,2.66,,,,,,,,,,,,,,,,,,,,,,,,
4.880,0.91,-0.91,215.80,4.880,1.35,-0.51,-5.65,4.880,0.78,-0.06,0.09,4.880,0.84,2.04,-56.24,,,,,,,,,,,,,,,,,,,,,,,,
4.900,0.91,7.14,257.90,4.900,1.35,-0.34,8.87,4.900,0.78,-0.06,0.23,4.900,1.15,-0.65,-86.66,,,,,,,,,,,,,,,,,,,,,,,,
4.920,0.80,18.59,-17.91,4.920,1.35,0.33,10.02,4.920,0.78,-0.05,0.54,4.920,0.81,-3.01,-34.70,,,,,,,,,,,,,,,,,,,,,,,,
4.940,1.87,11.38,-431.87,4.940,1.38,0.29,-1.02,4.940,0.78,-0.04,0.93,4.940,0.81,-2.75,28.98,,,,,,,,,,,,,,,,,,,,,,,,
4.960,2.18,-7.30,-502.92,4.960,1.37,0.06,-6.31,4.960,0.78,-0.02,1.20,4.960,0.81,-0.02,45.31,,,,,,,,,,,,,,,,,,,,,,,,
4.980,0.90,-18.79,-50.60,4.980,1.37,-0.19,0.06,4.980,0.78,0.01,1.29,4.980,0.82,-0.16,21.87,,,,,,,,,,,,,,,,,,,,,,,,
5.000,0.90,-11.59,383.74,5.000,1.36,0.06,6.78,5.000,0.78,0.04,1.21,5.000,0.80,-0.16,2.53,,,,,,,,,,,,,,,,,,,,,,,,
5.020,0.90,9.59,363.71,5.020,1.36,0.30,3.25,5.020,0.78,0.06,0.98,5.020,0.80,0.01,2.85,,,,,,,,,,,,,,,,,,,,,,,,
5.040,0.79,10.36,-27.59,5.040,1.38,0.38,-9.44,5.040,0.78,0.08,0.55,5.040,0.81,0.11,,,,,,,,,,,,,,,,,,,,,,,,,
5.060,2.16,2.90,-260.78,5.060,1.39,-0.13,-15.67,5.060,0.78,0.09,0.00,5.060,0.81,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,
5.080,0.88,-8.21,-20.59,5.080,1.38,-0.65,-8.31,5.080,0.79,0.08,-0.45,5.080,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,
5.100,1.16,-3.13,281.07,5.100,1.35,-0.55,5.70,5.100,0.79,0.06,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.120,0.81,13.93,299.34,5.120,1.35,-0.19,10.59,5.120,0.79,0.05,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.140,1.85,14.50,-28.60,5.140,1.36,0.10,5.31,5.140,0.79,0.05,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.160,1.85,10.08,-361.38,5.160,1.35,-0.03,-0.60,5.160,0.79,0.09,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.180,1.85,-2.72,-419.74,5.180,1.35,-0.07,-0.72,5.180,0.79,0.10,-1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.200,2.02,-12.22,-253.57,5.200,1.35,-0.09,-12.86,5.200,0.80,0.05,-2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.220,1.36,-13.57,40.68,5.220,1.35,0.07,-44.42,5.220,0.79,-0.04,-2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.240,0.88,-9.50,234.28,5.240,1.34,-1.72,-66.61,5.240,0.79,-0.09,-1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.260,1.37,-0.56,303.41,5.260,1.37,-3.78,-26.77,5.260,0.79,-0.07,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.280,0.87,2.89,,5.280,1.12,-4.23,71.11,5.280,0.79,-0.06,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.300,1.30,10.46,,5.300,1.12,-0.62,131.26,5.300,0.79,-0.06,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.320,1.29,,,5.320,1.08,3.66,92.57,5.320,0.79,0.13,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.340,1.33,4.08,-8.08,5.340,0.79,0.25,-1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.360,1.35,2.17,-67.11,5.360,0.81,0.13,-8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.380,1.34,-0.10,-52.01,5.380,0.80,-0.21,-9.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.400,1.33,-0.21,-13.29,5.400,0.79,-0.44,-3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.420,1.33,0.22,3.47,5.420,0.78,-0.32,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.440,1.33,0.26,-3.71,5.440,0.77,-0.16,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.460,1.37,-0.15,-9.03,5.460,0.77,-0.02,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.480,1.33,-0.29,-4.99,5.480,0.77,0.01,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.500,1.32,-0.32,-1.59,5.500,0.78,-0.04,-2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.520,1.35,-0.17,-2.83,5.520,0.77,-0.14,-2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.540,1.31,-0.46,-2.90,5.540,0.77,-0.18,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.560,1.32,-0.49,-1.92,5.560,0.77,-0.13,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.580,1.30,-0.35,-0.25,5.580,0.76,-0.08,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.600,1.30,-0.51,-1.57,5.600,0.76,-0.06,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.620,1.28,-0.47,-2.77,5.620,0.76,-0.05,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.640,1.27,-0.56,-11.21,5.640,0.76,-0.04,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.660,1.27,-0.63,-26.64,5.660,0.76,-0.04,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.680,1.24,-1.69,-29.82,5.680,0.76,-0.04,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.700,1.23,-2.53,-8.88,5.700,0.76,-0.05,-0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.720,1.11,-2.23,26.74,5.720,0.76,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.740,1.11,-1.16,41.97,5.740,0.76,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.760,1.10,0.14,26.62,5.760,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.780,1.10,0.13,-2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.800,1.13,-0.33,-19.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.820,1.09,-0.97,-12.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.840,1.07,-1.09,-2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.860,1.04,-0.63,-2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.880,1.05,-0.93,-12.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.900,1.04,-1.42,-12.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.920,0.96,-1.74,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.940,0.96,-1.36,12.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.960,0.92,-0.76,8.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5.980,0.92,-0.87,-5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.000,0.91,-1.26,-7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.020,0.86,-1.52,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.040,0.83,-0.98,20.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.060,0.82,-0.13,16.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.080,0.83,-0.15,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.100,0.84,-0.37,-0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.120,0.79,-0.34,-3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.140,0.82,0.01,85.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.160,0.81,-0.91,175.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.180,0.82,10.40,164.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.200,0.68,10.33,49.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.220,2.20,8.54,-57.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.240,0.67,6.89,-17.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.260,1.85,6.94,-47.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.280,1.85,9.80,-115.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.300,1.85,-0.02,-139.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.320,1.85,-0.01,-81.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.340,1.85,0.00,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.360,1.85,0.00,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.380,1.85,0.03,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,6.400,1.85,0.06,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
