Time (s) Run #13,Position (m) Run #13,Velocity (m/s) Run #13,Acceleration (m/s²) Run #13,Time (s) Run #14,Position (m) Run #14,Velocity (m/s) Run #14,Acceleration (m/s²) Run #14,Time (s) Run #15,Position (m) Run #15,Velocity (m/s) Run #15,Acceleration (m/s²) Run #15,Time (s) Run #16,Position (m) Run #16,Velocity (m/s) Run #16,Acceleration (m/s²) Run #16,Time (s) Run #17,Position (m) Run #17,Velocity (m/s) Run #17,Acceleration (m/s²) Run #17,Time (s) Run #18,Position (m) Run #18,Velocity (m/s) Run #18,Acceleration (m/s²) Run #18,Time (s) Run #19,Position (m) Run #19,Velocity (m/s) Run #19,Acceleration (m/s²) Run #19,Time (s) Run #20,Position (m) Run #20,Velocity (m/s) Run #20,Acceleration (m/s²) Run #20,Time (s) Run #21,Position (m) Run #21,Velocity (m/s) Run #21,Acceleration (m/s²) Run #21,Time (s) Run #22,Position (m) Run #22,Velocity (m/s) Run #22,Acceleration (m/s²) Run #22,Time (s) Run #24,Position (m) Run #24,Velocity (m/s) Run #24,Acceleration (m/s²) Run #24
3.08,1.47,-4.8,-61.66,,,,,3.08,1.16,-0.52,-4.06,,,,,3.08,1.85,14.92,-427.14,,,,,3.08,0.96,,,,,,,,,,,,,,,,,,
3.1,1.13,-5.48,28.41,,,,,3.1,1.15,-0.56,-2.3,,,,,3.1,1.85,2.94,-508.99,,,,,,,,,,,,,,,,,,,,,,,,
3.12,1.12,-3.1,86.46,,,,,3.12,1.14,-0.6,-1.48,,,,,3.12,2.06,-11.89,-262.89,,,,,,,,,,,,,,,,,,,,,,,,
3.14,1.11,-0.05,74.31,,,,,3.14,1.13,-0.62,-1.15,,,,,3.14,1.15,-13.68,137.97,,,,,,,,,,,,,,,,,,,,,,,,
3.16,1.12,0.14,29.1,,,,,3.16,1.12,-0.64,-0.93,,,,,3.16,1.12,-0.01,268.97,,,,,,,,,,,,,,,,,,,,,,,,
3.18,1.12,0.2,1.44,,,,,3.18,1.1,-0.66,-0.94,,,,,3.18,1.14,7.62,98.84,,,,,,,,,,,,,,,,,,,,,,,,
3.2,1.12,0.15,-1.4,,,,,3.2,1.09,-0.67,-1.14,,,,,3.2,2.07,-0.91,-70.04,,,,,,,,,,,,,,,,,,,,,,,,
3.22,1.13,0.12,-2.12,,,,,3.22,1.08,-0.7,-1.4,,,,,3.22,1.12,-0.92,-45.6,,,,,,,,,,,,,,,,,,,,,,,,
3.24,1.13,0.05,-1.59,,,,,3.24,1.06,-0.74,-1.52,,,,,3.24,1.03,0.13,-36.96,,,,,,,,,,,,,,,,,,,,,,,,
3.26,1.13,0.04,-1.2,,,,,3.26,1.05,-0.76,-1.48,,,,,3.26,2.06,1.11,-130.41,,,,,,,,,,,,,,,,,,,,,,,,
3.28,1.13,0.03,-1.31,,,,,3.28,1.03,-0.79,-1.34,,,,,3.28,1.14,-7.38,-98.62,,,,,,,,,,,,,,,,,,,,,,,,
3.3,1.13,-0.01,-1.67,,,,,3.3,1.01,-0.82,-1,,,,,3.3,1.15,-9.07,34.17,,,,,,,,,,,,,,,,,,,,,,,,
3.32,1.13,-0.06,-1.23,,,,,3.32,1,-0.84,-0.47,,,,,3.32,1.06,-1.53,132.59,,,,,,,,,,,,,,,,,,,,,,,,
3.34,1.13,-0.07,-0.44,,,,,3.34,0.98,-0.84,-0.15,,,,,3.34,1.05,-0.64,90.87,,,,,,,,,,,,,,,,,,,,,,,,
3.36,1.13,-0.06,-0.05,,,,,3.36,0.96,-0.83,-0.28,,,,,3.36,1.05,0.1,20.71,,,,,,,,,,,,,,,,,,,,,,,,
3.38,1.13,-0.07,0.03,,,,,3.38,0.95,-0.84,-0.69,,,,,3.38,1.08,0.2,1.94,,,,,,,,,,,,,,,,,,,,,,,,
3.4,1.12,-0.07,0.51,,,,,3.4,0.93,-0.87,-0.98,,,,,3.4,1.05,0.12,-13.88,,,,,,,,,,,,,,,,,,,,,,,,
3.42,1.12,-0.06,0.94,,,,,3.42,0.91,-0.89,-1.06,,,,,3.42,1.08,-0.42,-21.45,,,,,,,,,,,,,,,,,,,,,,,,
3.44,1.12,-0.01,0.51,,,,,3.44,0.89,-0.91,-0.9,,,,,3.44,1.06,-0.94,-17.48,,,,,,,,,,,,,,,,,,,,,,,,
3.46,1.12,-0.01,,,,,,3.46,0.88,-0.93,-0.52,,,,,3.46,1.01,-1.31,-7.67,,,,,,,,,,,,,,,,,,,,,,,,
3.48,1.12,-0.05,,,,,,3.48,0.86,-0.93,-0.16,,,,,3.48,1.01,-1.09,-4.78,,,,,,,,,,,,,,,,,,,,,,,,
3.5,1.12,,,,,,,3.5,0.84,-0.93,-0.29,,,,,3.5,0.98,-1.19,-8.69,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.52,0.82,-0.93,-0.84,,,,,3.52,0.96,-1.63,-10.28,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.54,0.8,-0.96,-1.14,,,,,3.54,0.91,-1.81,-2.77,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.56,0.78,-0.99,-0.78,,,,,3.56,0.88,-1.71,5.86,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.58,0.76,-1,-0.12,,,,,3.58,0.85,-1.45,9.36,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.6,0.74,-0.99,0.2,,,,,3.6,0.82,-1.28,11.15,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.62,0.72,-0.98,0.05,,,,,3.62,0.8,-1.11,4.88,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.64,0.7,-0.99,-0.18,,,,,3.64,0.78,-0.71,73.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.66,0.68,-1,-0.15,,,,,3.66,0.76,-1.44,237.09,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.68,0.66,-1,0.07,,,,,3.68,0.77,7.83,316.93,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.7,0.64,-0.99,0.14,,,,,3.7,0.63,18.8,122.12,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.72,0.62,-0.99,-0.12,,,,,3.72,1.85,17.08,-293.05,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.74,0.6,-0.99,-0.53,,,,,3.74,1.94,3.97,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.76,0.58,-1.01,-0.64,,,,,3.76,1.51,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.78,0.56,-1.03,-0.3,,,,,3.78,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.8,0.54,-1.03,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.82,0.52,-1.01,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.84,0.5,-1.01,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.86,0.48,-1.02,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.88,0.46,-1.03,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.9,0.44,-1.03,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.92,0.42,-1.02,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.94,0.4,-1.02,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.96,0.38,-1.02,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.98,0.36,-1.01,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,0.34,-0.99,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.02,0.32,-0.97,-1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.04,0.3,-0.95,83.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.06,0.28,-1.2,261.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.08,0.26,9.3,353.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.1,0.21,20.18,208.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.12,1.48,20.1,-87.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.14,1.48,12.97,-222.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.16,1.41,6.06,-199.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.18,1.85,7.56,-195.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.2,1.85,1.53,-225.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.22,1.95,-5.97,-141.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.24,1.49,-7.4,64.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.26,1.49,-0.54,145.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.28,1.42,3.8,38.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.3,1.95,0.32,-98.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.32,1.48,-3.7,-41.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.34,1.47,-4.85,82.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.36,1.46,4.03,60.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.38,1.39,2.52,-96.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.4,2.04,-3.83,-185.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.42,1.19,-8.57,-49.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.44,1.2,-7.11,100.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.46,1.2,-0.15,127.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.48,1.18,-0.2,57.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.5,1.19,-0.17,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.52,1.18,-0.15,-2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.54,1.18,-0.08,-7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.56,1.18,-0.6,-8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.58,1.19,-0.59,-5.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.6,1.1,-0.64,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.62,1.18,-0.65,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.64,1.11,-0.59,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.66,1.1,-0.67,9.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.68,1.11,-0.06,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.7,1.1,-0.08,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.72,1.1,-0.08,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.74,1.1,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.76,1.1,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.78,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
